Feature,Scaler_Min,Scaler_Max
gender,0.0,1.0
SeniorCitizen,0.0,0.6931471805599453
Partner,0.0,1.0
Dependents,0.0,1.0
tenure,0.0,72.0
PhoneService,0.0,1.0
PaperlessBilling,0.0,1.0
MonthlyCharges,18.25,118.75
TotalCharges,18.85,8684.8
MultipleLines,0.2507473841554559,0.2893970893970894
InternetService,0.0723793677204659,0.42014446227929375
OnlineSecurity,0.0723793677204659,0.4243727598566308
OnlineBackup,0.0723793677204659,0.40492531287848205
DeviceProtection,0.0723793677204659,0.39338976219266425
TechSupport,0.0723793677204659,0.4209764918625678
StreamingTV,0.0723793677204659,0.3376507369361322
StreamingMovies,0.0723793677204659,0.34293429342934295
Contract,0.029927007299270073,0.432520325203252
PaymentMethod,0.15488215488215487,0.46076352067868503
